start,duration,exit_start_frames,description
0,62,[],emphasize and explain
62,138,[],explain in detail
200,147,[],long greeting
347,59,[],guide with left hand pointing to the front
406,68,[],guide with right hand pointing to the front
474,24,[],idle
498,50,[],leave it to me
548,77,[],point and refer
625,52,[],present and guide
677,63,[],present choices
740,67,[],present with right hand pointing to the right
807,48,[],raise both hands in welcome
855,76,[],right hand points right elucidating point by point
931,45,[],shake head and negate
976,55,[],show respect
1031,70,[],cross arms to refuse
1101,61,[],wave right hand to confirm
1162,19,[],nod
1181,25,[],idle_25
1206,44,[],idle_46
